player_name,team_abbreviation,player_height,pts
Pat Connaughton,MIL,195.58,5.1
Patrick McCaw,TOR,200.66,4.7
Paul Watson,TOR,198.12,0.2
RJ Barrett,NYK,198.12,14.1
Raul Neto,PHI,185.42,4.3
Reggie Bullock,NYK,198.12,8.3
Robert Williams III,BOS,203.2,4.2
Robin Lopez,MIL,213.36,5.4
Rodions Kurucs,BKN,205.74,4.2
Tacko Fall,BOS,226.06,3.2
Taj Gibson,NYK,205.74,6.1
Tyrone Wallace,ATL,195.58,2.9
Udonis Haslem,MIA,203.2,1.7
Vic Law,ORL,200.66,0
Victor Oladipo,IND,193.04,12.4
Vince Carter,ATL,198.12,4.9
Vincent Poirier,BOS,213.36,1.9
Wayne Ellington,NYK,193.04,5.2
Wendell Carter Jr.,CHI,205.74,11.2
Tyler Herro,MIA,195.58,13.1
Wes Iwundu,ORL,198.12,5.1
Willy Hernangomez,CHA,210.82,6.1
Wilson Chandler,BKN,203.2,5.9
Zach LaVine,CHI,198.12,25.5
Zhaire Smith,PHI,190.5,1.1
Wesley Matthews,MIL,193.04,7.6
Tyler Cook,CLE,203.2,1.7
Taurean Prince,BKN,200.66,12.2
Terence Davis,TOR,193.04,8
Terrence Ross,ORL,198.12,14.6
Terry Rozier,CHA,185.42,17.6
Thaddeus Young,CHI,203.2,10.2
Thanasis Antetokounmpo,MIL,198.12,2.1
Theo Pinson,BKN,195.58,3.8
Thomas Bryant,WAS,208.28,12.3
Thon Maker,DET,213.36,4.6
Tim Frazier,DET,182.88,3.6
Timothe Luwawu-Cabarrot,BKN,200.66,6.3
Tobias Harris,PHI,203.2,19.4
Tomas Satoransky,CHI,200.66,10.1
Tony Snell,DET,198.12,8.1
Trae Young,ATL,185.42,29.4
Tremont Waters,BOS,177.8,3.3
Treveon Graham,ATL,195.58,4.4
Trey Burke,PHI,182.88,5.9
Tristan Thompson,CLE,205.74,12.2
Troy Brown Jr.,WAS,198.12,9.8
OG Anunoby,TOR,200.66,10.8
Norman Powell,TOR,190.5,16.4
Kevin Huerter,ATL,200.66,12.3
Kevin Knox II,NYK,200.66,6.5
Kevin Love,CLE,203.2,17.7
Kevin Porter Jr.,CLE,193.04,10
Khem Birch,ORL,205.74,3.9
Khris Middleton,MIL,200.66,20.7
Khyri Thomas,DET,190.5,1.2
Kris Dunn,CHI,190.5,7.3
Kyle Lowry,TOR,182.88,19.5
Kyle O'Quinn,PHI,205.74,3.5
Kyrie Irving,BKN,187.96,27.4
Langston Galloway,DET,185.42,10.2
Larry Nance Jr.,CLE,200.66,9.8
Lauri Markkanen,CHI,213.36,14.7
Kyle Korver,MIL,200.66,6.3
Louis King,DET,200.66,2
Josh Richardson,PHI,195.58,13.9
Julius Randle,NYK,203.2,19.3
Justin Anderson,BKN,195.58,1
Justin Holiday,IND,198.12,8.3
Justin Robinson,WAS,185.42,1.4
KZ Okpala,MIA,203.2,1.4
Kadeem Allen,NYK,185.42,5
Kelly Olynyk,MIA,210.82,7.9
Kemba Walker,BOS,182.88,21.6
Kendrick Nunn,MIA,187.96,15.5
Mike Scott,PHI,200.66,5.7
Miles Bridges,CHA,198.12,13.1
Mitchell Robinson,NYK,213.36,9.5
Mo Bamba,ORL,213.36,5.6
Moritz Wagner,WAS,210.82,9.7
Naz Mitrou-Long,IND,190.5,4.7
Nicolas Batum,CHA,205.74,3.6
Nicolas Claxton,BKN,210.82,4.4
Nikola Vucevic,ORL,210.82,19.6
Myles Turner,IND,210.82,11.7
Michael Carter-Williams,ORL,195.58,6.7
Luke Kennard,DET,195.58,15.8
Luke Kornet,CHI,218.44,6
Malcolm Brogdon,IND,195.58,16.3
Malcolm Miller,TOR,200.66,0.9
Malik Monk,CHA,190.5,10.3
Malik Newman,CLE,190.5,2
Marc Gasol,TOR,210.82,7.8
Marcus Smart,BOS,190.5,13.3
Marial Shayok,PHI,195.58,1.5
Markelle Fultz,ORL,190.5,11.9
Marques Bolden,CLE,208.28,0
Marvin Williams,MIL,203.2,6.2
Matisse Thybulle,PHI,195.58,4.6
Matt Mooney,CLE,187.96,0.7
Matthew Dellavedova,CLE,190.5,2.8
Maurice Harkless,NYK,200.66,5.7
Max Strus,CHI,195.58,2.5
Melvin Frazier Jr.,ORL,195.58,1.2
Meyers Leonard,MIA,213.36,6.1
Norvel Pelle,PHI,208.28,2.1
Matt Thomas,TOR,193.04,4.5
